nome,Coincidência reeleição,Cota para mulheres legislativo,Distritao,Financiamento privado para partidos,Financiamento privado para partidos e candidatos,Maioridade 1,Maioridade 2,Pensão,Reeleição,Seguro Desemprego,Tempo Mandato,Terceirização,Terrorismo,Transgênico,Voto Facultativo,Voto impresso
dem,liberado,liberado,sim,sim,sim,sim,sim,não,sim,não,não,sim,sim,sim,sim,sim
pcdob,não,sim,sim,não,não,não,não,sim,sim,sim,não,não,sim,não,não,sim
pdt,liberado,sim,não,não,não,não,não,não,sim,não,sim,sim,sim,liberado,não,sim
pen,liberado,liberado,sim,sim,sim,sim,sim,sim,sim,sim,liberado,sim,sim,sim,liberado,sim
phs,liberado,liberado,sim,sim,sim,sim,sim,sim,sim,sim,liberado,sim,sim,sim,liberado,sim
pmdb,liberado,liberado,sim,sim,sim,sim,sim,sim,sim,sim,liberado,sim,sim,sim,liberado,sim
pmn,não,liberado,não,sim,não,sim,sim,sim,sim,sim,não,liberado,sim,sim,não,sim
pp,liberado,liberado,sim,sim,sim,sim,sim,sim,sim,sim,liberado,sim,sim,sim,liberado,sim
pps,não,sim,não,não,não,não,não,não,sim,não,não,sim,sim,sim,sim,sim
pr,sim,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim
prb,não,liberado,não,sim,não,sim,sim,sim,sim,sim,não,liberado,sim,sim,não,sim
pros,sim,liberado,liberado,sim,liberado,não,não,sim,sim,sim,sim,liberado,sim,sim,não,sim
prp,não,liberado,não,sim,não,sim,sim,sim,sim,sim,não,liberado,sim,sim,não,sim
prtb,não,liberado,não,sim,não,sim,sim,sim,sim,sim,não,não votou,sim,sim,não,sim
psb,sim,liberado,não,liberado,liberado,não,não,não,sim,não,sim,sim,liberado,não,não,sim
psc,liberado,liberado,sim,sim,sim,sim,sim,sim,sim,sim,liberado,sim,sim,sim,liberado,sim
psd,liberado,sim,liberado,sim,sim,sim,sim,sim,sim,sim,sim,sim,liberado,sim,não,sim
psdb,não,liberado,liberado,sim,sim,sim,sim,não,sim,não,sim,sim,sim,sim,não,sim
psdc,não,liberado,não,sim,não,sim,sim,sim,sim,sim,não,liberado,sim,sim,não,sim
psl,não,liberado,não,sim,não,não votou,não votou,sim,sim,sim,não,liberado,sim,sim,não,sim
psol,não,sim,não,obstrução,não,não,obstrução,não,sim,não,sim,não,não,não,não,sim
pt,não,sim,não,não,não,não,não,sim,sim,sim,sim,não,sim,não,não,sim
ptb,liberado,liberado,sim,sim,sim,sim,sim,sim,sim,sim,liberado,sim,sim,sim,liberado,sim
ptc,não,liberado,não,sim,não,sim,sim,sim,sim,sim,não,liberado,sim,sim,não,sim
ptdob,não,liberado,não,sim,não,sim,sim,sim,sim,sim,não,liberado,sim,sim,não,sim
ptn,não,liberado,não,sim,não,sim,sim,sim,sim,sim,não,liberado,sim,sim,não,sim
pv,liberado,sim,não,sim,não,não,não,liberado,sim,liberado,liberado,sim,sim,não,sim,sim
s.part.,sem orientação,não votou,não votou,sem orientação,não votou,sem orientação,sem orientação,não votou,sem orientação,não votou,sem orientação,não votou,sem orientação,não votou,sem orientação,não votou
solidaried,sim,liberado,sim,sim,sim,sim,sim,não,sim,não,sim,sim,sim,sim,não,sim
